species,file,sequence,start,end,strand,gene,coverage,coverage_map,gaps,coverage_pec,identity_perc,database,accession,product,resistance,record
K. pneumoniae 98M3,genome1.fasta,NODE_81_length_1474_cov_11.322950,598,1473,+,CTX-M-19,1-876/876,===============,0/0,100.0,100.0,card,AF325134:0-876,CTX-M-19 is a beta-lactamase found in Klebsiella pneumoniae,cephalosporin,98M3
K. pneumoniae 98M3,genome1.fasta,NODE_86_length_1236_cov_13.093228,186,999,+,APH(3')-Ia,1-814/816,===============,0/0,99.75,99.39,card,BX664015.1:103833-103017,APH(3')-Ia is a transposon-encoded aminoglycoside phosphotransferase in E. coli and S. enterica. It is identical at the protein sequence to APH(3')-Ic an aminoglycoside phosphotransferase encoded by plasmids transposons and genomic islands in K. pneumoniae A. baumannii S. marcescens Corynebacterium spp. Photobacterium spp. and Citrobacter spp.,aminoglycoside,98M3
K. pneumoniae 98M3,genome1.fasta,NODE_90_length_1105_cov_31.211730,112,972,-,TEM-1,1-861/861,===============,0/0,100.0,99.88,card,AL513383:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.,cephalosporin;monobactam;penam;penem,98M3
K. pneumoniae 98M3,genome1.fasta,NODE_9_length_165848_cov_5.802334,61075,61479,-,H-NS,1-405/414,===============,0/0,97.83,87.16,card,BA000007.3:1738104-1737690,H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.,cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline,98M3
E. asburiae 790C,genome25.fasta,NODE_11_length_156582_cov_5.076430,120553,123651,-,acrD,1-3099/3114,===============,0/0,99.52,81.12,card,AP009048.1:2586250-2589364,AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.,aminoglycoside,790C
E. asburiae 790C,genome25.fasta,NODE_12_length_124867_cov_6.002685,43691,45057,-,cpxA,1-1367/1374,===============,0/0,99.49,82.59,card,BA000007.3:4905062-4903688,CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.,aminocoumarin;aminoglycoside,790C
E. asburiae 790C,genome25.fasta,NODE_17_length_106243_cov_5.809513,51510,52327,+,bacA,1-818/822,===============,0/0,99.51,82.27,card,U00096.3:3204131-3203309,The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.,peptide,790C
E. asburiae 790C,genome25.fasta,NODE_19_length_103230_cov_5.373535,12497,12922,+,FosA2,1-426/426,===============,0/0,100.0,92.96,card,EU487198:216-642,An enzyme that confers resistance to fosfomycin in Enterobacter cloacae by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule.,fosfomycin,790C
E. asburiae 790C,genome25.fasta,NODE_21_length_96753_cov_5.136394,75927,79049,+,mdtB,1-3123/3123,========/======,2/4,99.94,81.09,card,U00096:2155262-2158385,MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.,aminocoumarin,790C
E. asburiae 790C,genome25.fasta,NODE_21_length_96753_cov_5.136394,79050,82127,+,mdtC,1-3078/3078,===============,0/0,100.0,82.26,card,U00096:2158385-2161463,MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.,aminocoumarin,790C
E. asburiae 790C,genome25.fasta,NODE_21_length_96753_cov_5.136394,84940,85650,+,baeR,1-711/723,===============,0/0,98.34,82.42,card,AP009048.1:2166412-2167135,BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.,aminocoumarin;aminoglycoside,790C
E. asburiae 790C,genome25.fasta,NODE_26_length_59000_cov_5.112392,6062,7592,-,emrB,9-1539/1539,===============,0/0,99.48,84.13,card,U00096:2812615-2814154,emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.,fluoroquinolone,790C
E. asburiae 790C,genome25.fasta,NODE_26_length_59000_cov_5.112392,7626,8798,-,Klebsiella_pneumoniae_KpnG,1-1173/1173,===============,0/0,100.0,83.03,card,ACWO01000051.1:22092-23265,KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin,aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide,790C
E. asburiae 790C,genome25.fasta,NODE_26_length_59000_cov_5.112392,8925,9455,-,emrR,1-531/531,===============,0/0,100.0,84.75,card,U00096.3:2810769-2811300,EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.,fluoroquinolone,790C
E. asburiae 790C,genome25.fasta,NODE_29_length_44022_cov_5.276803,5156,5569,-,H-NS,1-414/414,===============,0/0,100.0,86.96,card,BA000007.3:1738104-1737690,H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.,cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline,790C
E. asburiae 790C,genome25.fasta,NODE_2_length_354365_cov_5.280908,178428,181574,-,acrB,1-3150/3150,========/======,3/5,99.87,84.89,card,U00096.3:484403-481253,Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.,cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,790C
E. asburiae 790C,genome25.fasta,NODE_2_length_354365_cov_5.280908,181597,182790,-,Enterobacter_cloacae_acrA,1-1194/1194,===============,0/0,100.0,95.98,card,DQ679966:299-1493,AcrA is a subunit of the AcrAB-TolC multidrug efflux system that in E. cloacae.,cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,790C
E. asburiae 790C,genome25.fasta,NODE_2_length_354365_cov_5.280908,259191,259553,+,ramA,13-375/375,===============,0/0,96.8,91.46,card,JQ727668:0-375,RamA (resistance antibiotic multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae Salmonella enterica and Enterobacter aerugenes increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.,carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan,790C
E. asburiae 790C,genome25.fasta,NODE_33_length_29536_cov_5.594048,12053,13198,+,ACT-3,1-1146/1146,===============,0/0,100.0,100.0,card,EF125013:0-1146,ACT-3 is a beta-lactamase found in Klebsiella pneumoniae,carbapenem;cephalosporin;cephamycin;penam,790C
E. asburiae 790C,genome25.fasta,NODE_3_length_315834_cov_4.692473,80114,81289,+,oqxA,1-1176/1176,===============,0/0,100.0,86.22,card,EU370913.1:46651-47827,RND efflux pump conferring resistance to fluoroquinolone,diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline,790C
E. asburiae 790C,genome25.fasta,NODE_3_length_315834_cov_4.692473,81314,84438,+,oqxB,1-3125/3153,===============,0/0,99.11,89.44,card,EU370913.1:47850-51003,RND efflux pump conferring resistance to fluoroquinolone,diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline,790C
E. asburiae 790C,genome25.fasta,NODE_3_length_315834_cov_4.692473,282337,282707,-,marA,1-371/384,===============,0/0,96.61,84.64,card,AP009048.1:1621287-1621671,In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.,carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan,790C
E. asburiae 790C,genome25.fasta,NODE_4_length_293694_cov_5.226206,233919,235667,+,msbA,1-1749/1749,===============,0/0,100.0,83.19,card,U00096.3:966620-968369,MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.,nitroimidazole,790C
E. asburiae 790C,genome25.fasta,NODE_5_length_260171_cov_4.675286,187980,188623,+,qnrE1,1-644/645,===============,0/0,99.84,93.63,card,KY073238.1:1678-2323,qnrE1 is a member of the qnrE family of plasmid-borne (fluoro)quinolone-resistance genes with chromosomal origins from Enterobacter spp.,fluoroquinolone,790C
E. asburiae 790C,genome25.fasta,NODE_8_length_222721_cov_5.856330,206700,207332,-,CRP,1-633/633,===============,0/0,100.0,88.47,card,AP009048.1:4154296-4153663,CRP is a global regulator that represses MdtEF multidrug efflux pump expression.,fluoroquinolone;macrolide;penam,790C
E. coli 537B,genome42.fasta,NODE_10_length_124609_cov_5.904233,114515,116158,-,yojI,1-1644/1644,===============,0/0,100.0,97.26,card,U00096.3:2308615-2306971,YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.,peptide,537B
E. coli 537B,genome42.fasta,NODE_114_length_1380_cov_18.616706,142,651,+,dfrA8,1-510/510,===============,0/0,100.0,100.0,card,KJ174469:710-1220,dfrA8 is a transposon-encoded dihydrofolate reductase found in Salmonella enterica,diaminopyrimidine,537B
E. coli 537B,genome42.fasta,NODE_11_length_120521_cov_6.831592,54527,55057,+,emrR,1-531/531,===============,0/0,100.0,99.44,card,U00096.3:2810769-2811300,EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.,fluoroquinolone,537B
E. coli 537B,genome42.fasta,NODE_11_length_120521_cov_6.831592,55184,56356,+,emrA,1-1173/1173,===============,0/0,100.0,98.21,card,AP009048:2810082-2811255,EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.,fluoroquinolone,537B
E. coli 537B,genome42.fasta,NODE_11_length_120521_cov_6.831592,56373,57911,+,emrB,1-1539/1539,===============,0/0,100.0,98.25,card,U00096:2812615-2814154,emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.,fluoroquinolone,537B
E. coli 537B,genome42.fasta,NODE_13_length_106983_cov_7.924928,65645,67018,+,cpxA,1-1374/1374,===============,0/0,100.0,97.82,card,BA000007.3:4905062-4903688,CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.,aminocoumarin;aminoglycoside,537B
E. coli 537B,genome42.fasta,NODE_14_length_103040_cov_6.097230,4794,5762,+,pmrF,1-969/969,===============,0/0,100.0,98.04,card,U00096:2367070-2368039,PmrF is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. pmrF corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.,peptide,537B
E. coli 537B,genome42.fasta,NODE_16_length_101041_cov_8.077589,48686,49819,+,Escherichia_coli_ampC,1-1134/1134,===============,0/0,100.0,97.97,card,U00096.3:4378944-4377810,A class C ampC beta-lactamase (cephalosporinase) enzyme described in Escherichia coli shown clinically to confer resistance to penicillin-like and cephalosporin-class antibiotics.,cephalosporin;penam,537B
E. coli 537B,genome42.fasta,NODE_16_length_101041_cov_8.077589,91739,93382,+,eptA,1-1644/1644,===============,0/0,100.0,98.11,card,AP009048:4340268-4338624,PmrC mediates the modification of Lipid A by the addition of 4-amino-4-deoxy-L-arabinose (L-Ara4N) and phosphoethanolamine resulting in a less negative cell membrane and decreased binding of polymyxin B.,peptide,537B
E. coli 537B,genome42.fasta,NODE_17_length_98834_cov_7.822505,54716,55948,-,mdtM,1-1233/1233,===============,0/0,100.0,96.19,card,U00096.3:4568519-4567286,Multidrug resistance protein MdtM,acridine_dye;fluoroquinolone;lincosamide;nucleoside;phenicol,537B
E. coli 537B,genome42.fasta,NODE_1_length_428071_cov_6.289028,97371,98597,-,mdtG,1-1227/1227,===============,0/0,100.0,97.96,card,CP000800.1:1192954-1191727,The MdtG protein also named YceE appears to be a member of the major facilitator superfamily of transporters and it has been reported when overexpressed to increase fosfomycin and deoxycholate resistances. mdtG is a member of the marA-soxS-rob regulon.,fosfomycin,537B
E. coli 537B,genome42.fasta,NODE_1_length_428071_cov_6.289028,107228,108436,-,mdtH,1-1209/1209,===============,0/0,100.0,98.18,card,U00096:1125326-1124117,Multidrug resistance protein MdtH,fluoroquinolone,537B
E. coli 537B,genome42.fasta,NODE_1_length_428071_cov_6.289028,268265,268678,-,H-NS,1-414/414,===============,0/0,100.0,99.52,card,BA000007.3:1738104-1737690,H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.,cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline,537B
E. coli 537B,genome42.fasta,NODE_21_length_81414_cov_6.472361,26467,26799,-,Escherichia_coli_emrE,1-333/333,===============,0/0,100.0,99.4,card,Z11877.1:485-818,Member of the small MDR (multidrug resistance) family of transporters; in Escherichia coli this protein provides resistance against a number of positively charged compounds including ethidium bromide and erythromycin; proton-dependent secondary transporter which exchanges protons for compound translocation,macrolide,537B
E. coli 537B,genome42.fasta,NODE_22_length_78644_cov_6.363728,12014,13318,-,Escherichia_coli_ampC1_beta-lactamase,1-1305/1305,===============,0/0,100.0,96.32,card,FN649414.1:2765050-2766355,An ampC-like beta-lactamase identified from Escherichia coli.,cephalosporin;penam,537B
E. coli 537B,genome42.fasta,NODE_22_length_78644_cov_6.363728,66633,70226,-,evgS,1-3594/3594,===============,0/0,100.0,96.63,card,U00096:2484373-2487967,EvgS is a sensor protein that phosphorylates the regulatory protein EvgA. evgS corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.,fluoroquinolone;macrolide;penam;tetracycline,537B
E. coli 537B,genome42.fasta,NODE_22_length_78644_cov_6.363728,70231,70845,-,evgA,1-615/615,===============,0/0,100.0,99.19,card,BA000007.3:3212025-3212640,EvgA when phosphorylated is a positive regulator for efflux protein complexes emrKY and mdtEF. While usually phosphorylated in a EvgS dependent manner it can be phosphorylated in the absence of EvgS when overexpressed.,fluoroquinolone;macrolide;penam;tetracycline,537B
E. coli 537B,genome42.fasta,NODE_22_length_78644_cov_6.363728,71369,72424,+,emrK,1-1056/1056,===============,0/0,100.0,96.97,card,D78168:536-1592,emrK is a membrane fusion protein that is a homolog of EmrA. Together with the inner membrane transporter EmrY and the outer membrane channel TolC it mediates multidrug efflux.,tetracycline,537B
E. coli 537B,genome42.fasta,NODE_22_length_78644_cov_6.363728,72424,73962,+,emrY,1-1539/1539,===============,0/0,100.0,97.4,card,D78168:1591-3130,emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.,tetracycline,537B
E. coli 537B,genome42.fasta,NODE_25_length_72421_cov_5.840118,12622,13005,-,marA,1-384/384,===============,0/0,100.0,99.74,card,AP009048.1:1621287-1621671,In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.,carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan,537B
E. coli 537B,genome42.fasta,NODE_26_length_70851_cov_5.990884,31852,33099,+,mdtA,1-1248/1248,===============,0/0,100.0,97.36,card,U00096:2154015-2155263,MdtA is the membrane fusion protein of the multidrug efflux complex mdtABC.,aminocoumarin,537B
E. coli 537B,genome42.fasta,NODE_26_length_70851_cov_5.990884,33099,36221,+,mdtB,1-3123/3123,===============,0/0,100.0,96.7,card,U00096:2155262-2158385,MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.,aminocoumarin,537B
E. coli 537B,genome42.fasta,NODE_26_length_70851_cov_5.990884,36222,39299,+,mdtC,1-3078/3078,===============,0/0,100.0,96.26,card,U00096:2158385-2161463,MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.,aminocoumarin,537B
E. coli 537B,genome42.fasta,NODE_26_length_70851_cov_5.990884,40712,42115,+,baeS,1-1404/1404,===============,0/0,100.0,97.08,card,AP009048:2165012-2166416,BaeS is a sensor kinase in the BaeSR regulatory system. While it phosphorylates BaeR to increase its activity BaeS is not necessary for overexpressed BaeR to confer resistance.,aminocoumarin;aminoglycoside,537B
E. coli 537B,genome42.fasta,NODE_26_length_70851_cov_5.990884,42112,42833,+,baeR,1-722/723,===============,0/0,99.86,96.68,card,AP009048.1:2166412-2167135,BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.,aminocoumarin;aminoglycoside,537B
E. coli 537B,genome42.fasta,NODE_27_length_62784_cov_5.910058,19100,19576,-,mphB,1-477/477,===============,0/0,100.0,97.9,card,AE005174.2:3397370-3397847,The mphB gene encodes for MPH(2')-II. This enzymes phosphorylates 14-membered and 16-membered macrolides.  It phosphorylates macrolides in GTP- dependent manner at 2'-OH hydroxyl of desosamine sugar of macrolides.,macrolide,537B
E. coli 537B,genome42.fasta,NODE_27_length_62784_cov_5.910058,40281,43394,-,acrD,1-3114/3114,===============,0/0,100.0,98.91,card,AP009048.1:2586250-2589364,AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.,aminoglycoside,537B
E. coli 537B,genome42.fasta,NODE_30_length_56346_cov_6.123882,24829,26577,-,msbA,1-1749/1749,===============,0/0,100.0,98.8,card,U00096.3:966620-968369,MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.,nitroimidazole,537B
E. coli 537B,genome42.fasta,NODE_37_length_43294_cov_12.460632,15412,16599,-,CMY-59,1-1188/1188,===============,0/0,100.0,99.92,card,AB587082:0-1188,CMY-59 is a beta-lactamase found in Shigella spp.,cephamycin,537B
E. coli 537B,genome42.fasta,NODE_40_length_41061_cov_7.281529,27367,28854,+,tolC,1-1488/1488,===============,0/0,100.0,98.52,card,FJ768952:0-1488,TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.,aminocoumarin;aminoglycoside;carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;macrolide;penam;penem;peptide;phenicol;rifamycin;tetracycline;triclosan,537B
E. coli 537B,genome42.fasta,NODE_4_length_223170_cov_7.465206,15100,15732,+,CRP,1-633/633,===============,0/0,100.0,99.05,card,AP009048.1:4154296-4153663,CRP is a global regulator that represses MdtEF multidrug efflux pump expression.,fluoroquinolone;macrolide;penam,537B
E. coli 537B,genome42.fasta,NODE_4_length_223170_cov_7.465206,216126,217283,+,mdtE,1-1158/1158,===============,0/0,100.0,98.53,card,AP009048.1:3981183-3980025,MdtE is the membrane fusion protein of the MdtEF multidrug efflux complex. It shares 70% sequence similarity with AcrA.,fluoroquinolone;macrolide;penam,537B
E. coli 537B,genome42.fasta,NODE_4_length_223170_cov_7.465206,217308,220421,+,mdtF,1-3114/3114,===============,0/0,100.0,98.23,card,U00096:3660413-3663527,MdtF is the multidrug inner membrane transporter for the MdtEF-TolC efflux complex.,fluoroquinolone;macrolide;penam,537B
E. coli 537B,genome42.fasta,NODE_4_length_223170_cov_7.465206,220784,221512,-,gadW,1-729/729,===============,0/0,100.0,95.75,card,CP015085.1:2552440-2551711,GadW is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance. GadW inhibits GadX-dependent activation. GadW clearly represses gadX and in situations where GadX is missing activates gadA and gadBC.,fluoroquinolone;macrolide;penam,537B
E. coli 537B,genome42.fasta,NODE_4_length_223170_cov_7.465206,221881,222705,-,gadX,1-825/825,===============,0/0,100.0,96.85,card,AP009048.1:3974604-3975429,GadX is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance.,fluoroquinolone;macrolide;penam,537B
E. coli 537B,genome42.fasta,NODE_51_length_29481_cov_6.021850,20267,21433,-,ugd,1-1167/1167,===============,0/0,100.0,99.74,card,U00096:2099613-2098446,PmrE is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin,peptide,537B
E. coli 537B,genome42.fasta,NODE_56_length_22851_cov_6.987078,15142,16173,+,mdtN,1-1032/1032,===============,0/0,100.0,97.87,card,AP009048.1:4307588-4306556,Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride.,acridine_dye;nucleoside,537B
E. coli 537B,genome42.fasta,NODE_56_length_22851_cov_6.987078,16173,18224,+,mdtO,1-2052/2052,===============,0/0,100.0,96.78,card,AP009048.1:4306557-4304505,Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride,acridine_dye;nucleoside,537B
E. coli 537B,genome42.fasta,NODE_56_length_22851_cov_6.987078,18221,19687,+,mdtP,1-1467/1467,===============,0/0,100.0,96.86,card,AP009048.1:4304509-4303042,Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride,acridine_dye;nucleoside,537B
E. coli 537B,genome42.fasta,NODE_58_length_20445_cov_6.774354,8706,9525,-,bacA,1-820/822,===============,0/0,99.76,97.68,card,U00096.3:3204131-3203309,The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.,peptide,537B
E. coli 537B,genome42.fasta,NODE_6_length_199374_cov_7.491467,5222,8326,-,acrF,1-3105/3105,===============,0/0,100.0,98.0,card,U00096:3415032-3418137,AcrF is a inner membrane transporter similar to AcrB.,cephalosporin;cephamycin;fluoroquinolone;penam,537B
E. coli 537B,genome42.fasta,NODE_6_length_199374_cov_7.491467,8338,9495,-,acrE,1-1158/1158,===============,0/0,100.0,98.79,card,U00096:3413863-3415021,AcrE is a membrane fusion protein similar to AcrA.,cephalosporin;cephamycin;fluoroquinolone;penam,537B
E. coli 537B,genome42.fasta,NODE_6_length_199374_cov_7.491467,9894,10556,+,acrS,1-663/663,===============,0/0,100.0,97.13,card,U00096:3413465-3412802,AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.,cephalosporin;cephamycin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,537B
E. coli 537B,genome42.fasta,NODE_7_length_187068_cov_6.522905,55869,57062,+,Escherichia_coli_acrA,1-1194/1194,===============,0/0,100.0,99.0,card,U00096.3:485619-484425,AcrA is a subunit of the AcrAB-TolC multidrug efflux system that in E. coli.,cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,537B
E. coli 537B,genome42.fasta,NODE_7_length_187068_cov_6.522905,57085,60234,+,acrB,1-3150/3150,===============,0/0,100.0,98.98,card,U00096.3:484403-481253,Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.,cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,537B
E. coli 537B,genome42.fasta,NODE_7_length_187068_cov_6.522905,148731,149888,+,Escherichia_coli_ampH,1-1158/1158,===============,0/0,100.0,96.72,card,AP012030.1:396711-395553,AmpH is a class C ampC-like beta-lactamase and penicillin-binding protein identified in Escherichia coli.,cephalosporin;penam,537B
E. coli 537B,genome42.fasta,NODE_86_length_3344_cov_125.969492,2271,3176,-,mphA,1-906/906,===============,0/0,100.0,100.0,card,D16251.1:2531-1625,The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin telithromycin roxithromycin) over 16-membered macrolides (e.g.tylosin spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.,macrolide,537B
E. coli 537B,genome42.fasta,NODE_8_length_155714_cov_6.347595,28723,29398,+,kdpE,1-676/678,===============,0/0,99.71,95.27,card,U00096.3:721733-721055,kdpE is a transcriptional activator that is part of the two-component system KdpD/KdpE that is studied for its regulatory role in potassium transport and has been identified as an adaptive regulator involved in the virulence and intracellular survival of pathogenic bacteria. kdpE regulates a range of virulence loci through direct promoter binding.,aminoglycoside,537B
E. coli 537B,genome42.fasta,NODE_9_length_155280_cov_6.010214,46674,47906,-,Escherichia_coli_mdfA,1-1233/1233,===============,0/0,100.0,96.03,card,JQ394987:0-1233,Multidrug efflux pump in E. coli. This multidrug efflux system was originally identified as the Cmr/CmlA chloramphenicol exporter.,benzalkonium_chloride;rhodamine;tetracycline,537B
S. epidermidis 452B,genome29.fasta,NODE_15_length_67254_cov_14.182458,64644,65489,+,PC1_beta-lactamase_(blaZ),1-846/846,===============,0/0,100.0,96.81,card,CP000732.1:10528-9682,The blaZ beta-lactamase is found in Bacillus subtilis and Staphylococcus aureus.,penam,452B
S. epidermidis 452B,genome29.fasta,NODE_40_length_16078_cov_17.112961,11416,13422,+,mecA,1-2007/2007,===============,0/0,100.0,99.9,card,KC243783:0-2007,A foreign PBP2a acquired by lateral gene transfer that able to perform peptidoglycan synthesis in the presence of beta-lactams.,penam,452B
S. epidermidis 452B,genome29.fasta,NODE_48_length_6616_cov_39.934786,2885,4429,+,qacA,1-1545/1545,===============,0/0,100.0,99.74,card,AB566411:0-1545,qacA is a subunit of the qac multidrug efflux pump,fluoroquinolone,452B
S. epidermidis 452B,genome29.fasta,NODE_56_length_2305_cov_620.290118,881,1615,-,ErmC,1-735/735,===============,0/0,100.0,99.86,card,M12730:779-1514,ErmC is a methyltransferase that catalyzes the methylation of A2058 of the 23S ribosomal RNA in two steps. Expression of ErmC is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present it binds the leader peptide causing a change in conformation allowing for the expression of ErmC.,lincosamide;macrolide;streptogramin,452B
